"";"reads.in";"reads.out"
"OSD002_R1_18S_V9_lw_raw.fastq.gz";404993;391520
"OSD003_R1_18S_V9_lw_raw.fastq.gz";294465;284012
"OSD014_R1_18S_V9_lw_raw.fastq.gz";414604;404898
"OSD022_R1_18S_V9_lw_raw.fastq.gz";364301;355089
"OSD030_R1_18S_V9_lw_raw.fastq.gz";366002;358774
"OSD037_R1_18S_V9_lw_raw.fastq.gz";373240;357380
"OSD039_R1_18S_V9_lw_raw.fastq.gz";351295;340360
"OSD043_R1_18S_V9_lw_raw.fastq.gz";409977;400253
"OSD054_R1_18S_V9_lw_raw.fastq.gz";385210;374747
"OSD055_R1_18S_V9_lw_raw.fastq.gz";297013;288119
"OSD060_R1_18S_V9_lw_raw.fastq.gz";374282;360048
"OSD072_R1_18S_V9_lw_raw.fastq.gz";492770;482899
"OSD076_R1_18S_V9_lw_raw.fastq.gz";455874;445069
"OSD077_R1_18S_V9_lw_raw.fastq.gz";423337;412678
"OSD080_R1_18S_V9_lw_raw.fastq.gz";449700;439961
"OSD099_R1_18S_V9_lw_raw.fastq.gz";467122;455112
"OSD123_R1_18S_V9_lw_raw.fastq.gz";437765;426359
"OSD124_R1_18S_V9_lw_raw.fastq.gz";500355;483123
"OSD141_R1_18S_V9_lw_raw.fastq.gz";408194;398569
"OSD143_R1_18S_V9_lw_raw.fastq.gz";429559;415165
"OSD146_R1_18S_V9_lw_raw.fastq.gz";465595;450227
"OSD150_R1_18S_V9_lw_raw.fastq.gz";392549;379141
"OSD152_R1_18S_V9_lw_raw.fastq.gz";429863;419110
"OSD159_R1_18S_V9_lw_raw.fastq.gz";456359;442949
