"";"reads.in";"reads.out"
"TARA004_R1_18S_V9.fastq.gz";2594588;1322711
"TARA007_R1_18S_V9.fastq.gz";2034430;1153493
"TARA011_R1_18S_V9.fastq.gz";2203298;1607204
"TARA022_R1_18S_V9.fastq.gz";2079527;1503205
"TARA024_R1_18S_V9.fastq.gz";3055830;1250880
"TARA025_R1_18S_V9.fastq.gz";2321077;1256635
"TARA026_R1_18S_V9.fastq.gz";3134607;1641024
"TARA030_R1_18S_V9.fastq.gz";797465;429333
"TARA031_R1_18S_V9.fastq.gz";1644106;1145779
"TARA032_R1_18S_V9.fastq.gz";967018;737650
"TARA034_R1_18S_V9.fastq.gz";816180;243382
"TARA036_R1_18S_V9.fastq.gz";1735350;987816
"TARA041_R1_18S_V9.fastq.gz";2431221;1307773
"TARA042_R1_18S_V9.fastq.gz";3549280;1605930
"TARA052_R1_18S_V9.fastq.gz";2224566;1133124
"TARA064_R1_18S_V9.fastq.gz";2186939;1138369
"TARA065_R1_18S_V9.fastq.gz";2133413;1157526
"TARA066_R1_18S_V9.fastq.gz";2390588;1228897
"TARA067_R1_18S_V9.fastq.gz";3343823;1557323
"TARA076_R1_18S_V9.fastq.gz";1398181;895353
"TARA078_R1_18S_V9.fastq.gz";2267834;1092254
"TARA082_R1_18S_V9.fastq.gz";2071874;1500451
"TARA102_R1_18S_V9.fastq.gz";2692829;1309395
"TARA109_R1_18S_V9.fastq.gz";2344194;1291924
