"";"reads.in";"reads.out"
"S01_C1A17_AATAAT-CG8YP_L001_R1.fastq.gz";96038;66643
"S02_C1F18_TTCGCA-CG8YP_L001_R1.fastq.gz";87144;72871
"S03_C1A18_AGGAGG-CG8YP_L001_R1.fastq.gz";73976;61463
"S04_C2A17_GGCTGC-CG8YP_L001_R1.fastq.gz";70701;57996
"S05_C2F18_GATGAC-CG8YP_L001_R1.fastq.gz";79975;67623
"S06_C2A18_GCGGTT-CG8YP_L001_R1.fastq.gz";83499;70863
"S07_C3A17_TTCCGT-CG8YP_L001_R1.fastq.gz";86841;71768
"S08_C3F18_CCCACG-CG8YP_L001_R1.fastq.gz";93980;77176
"S09_C3A18_AGGATA-CG8YP_L001_R1.fastq.gz";85108;65737
"S10_C4A17_AGTGTC-CG8YP_L001_R1.fastq.gz";80543;62864
"S11_C4F18_GTCAGG-CG8YP_L001_R1.fastq.gz";75556;63011
"S12_C4A18_TGCTCC-CG8YP_L001_R1.fastq.gz";74706;62170
"S13_F1A17_CCGTAG-CG8YP_L001_R1.fastq.gz";73542;61189
"S14_F1F18_GGCGTA-CG8YP_L001_R1.fastq.gz";71859;61099
"S15_F1A18_GCCAGC-CG8YP_L001_R1.fastq.gz";86165;72423
"S16_F2A17_CATGAG-CG8YP_L001_R1.fastq.gz";75502;58704
"S17_F2F18_GACTAC-CG8YP_L001_R1.fastq.gz";81498;69239
"S18_F2A18_CTAAAC-CG8YP_L001_R1.fastq.gz";89908;74231
"S19_F3A17_TGAATA-CG8YP_L001_R1.fastq.gz";76898;57728
"S20_F3F18_CTGGTT-CG8YP_L001_R1.fastq.gz";87351;73787
"S21_F3A18_CGTGAT-CG8YP_L001_R1.fastq.gz";89056;74144
"S22_F4A17_CGTGCG-CG8YP_L001_R1.fastq.gz";73032;56042
"S23_F4F18_CGCCAC-CG8YP_L001_R1.fastq.gz";90657;76883
"S24_F4A18_GCCCTT-CG8YP_L001_R1.fastq.gz";91630;77111
"S25_H1A17_GCCCGA-CG8YP_L001_R1.fastq.gz";85435;71392
"S26_H1F18_TACCAA-CG8YP_L001_R1.fastq.gz";89990;73728
"S27_H1A18_CTTCGT-CG8YP_L001_R1.fastq.gz";93414;79696
"S28_H2A17_TGTCTA-CG8YP_L001_R1.fastq.gz";75626;63540
"S29_H2F18_ACCGAA-CG8YP_L001_R1.fastq.gz";86305;70139
"S30_H2A18_GATGTA-CG8YP_L001_R1.fastq.gz";94149;78587
"S31_H3A17_ATATCC-CG8YP_L001_R1.fastq.gz";86834;70816
"S32_H3F18_ACGGGC-CG8YP_L001_R1.fastq.gz";92761;82094
"S33_H3A18_TGCCGC-CG8YP_L001_R1.fastq.gz";86338;74729
"S34_H4A17_ATTGAG-CG8YP_L001_R1.fastq.gz";76299;63106
"S35_H4F18_CACGGA-CG8YP_L001_R1.fastq.gz";87176;73169
"S36_H4A18_CCACGG-CG8YP_L001_R1.fastq.gz";86715;73583
"S39_P1F18_ACGTCG-CG8YP_L001_R1.fastq.gz";75392;65017
"S40_P1A18_GTATGT-CG8YP_L001_R1.fastq.gz";87953;74802
"S41_P2F18_TCTGGC-CG8YP_L001_R1.fastq.gz";71283;61645
"S42_P3F18_CTTTAG-CG8YP_L001_R1.fastq.gz";85319;69883
"S43_P4F18_CTTTCC-CG8YP_L001_R1.fastq.gz";91750;72385
"S44_Q1A17_CTATGG-CG8YP_L001_R1.fastq.gz";75250;62662
"S45_Q1F18_GAAGCA-CG8YP_L001_R1.fastq.gz";90121;72283
"S46_Q2A17_AAGTGG-CG8YP_L001_R1.fastq.gz";67839;57053
"S47_Q2F18_GAATCT-CG8YP_L001_R1.fastq.gz";95679;78534
"S48_Q3A17_GTCAAA-CG8YP_L001_R1.fastq.gz";76328;57583
"S49_Q3F18_AGACGA-CG8YP_L001_R1.fastq.gz";98357;80819
"S50_Q3A18_TAGCAG-CG8YP_L001_R1.fastq.gz";85076;71967
"S51_Q4A17_GATTCA-CG8YP_L001_R1.fastq.gz";74855;60417
"S52_Q4F18_TAACCG-CG8YP_L001_R1.fastq.gz";85955;69679
"S53_Q4A18_CGGTTA-CG8YP_L001_R1.fastq.gz";78771;66570
"S54_L1A17_TATCCC-CG8YP_L001_R1.fastq.gz";87689;70033
"S55_L1F18_GTACAG-CG8YP_L001_R1.fastq.gz";80355;66087
"S56_L1A18_TTATAC-CG8YP_L001_R1.fastq.gz";87850;65875
"S57_L2A17_CGCATT-CG8YP_L001_R1.fastq.gz";85987;70583
"S58_L2F18_CATAAC-CG8YP_L001_R1.fastq.gz";102789;82246
"S59_L2A18_ATAGGC-CG8YP_L001_R1.fastq.gz";71969;61723
"S60_L3A17_TCGGCC-CG8YP_L001_R1.fastq.gz";71059;61861
"S61_L3F18_CATACG-CG8YP_L001_R1.fastq.gz";86552;70113
"S62_L3A18_GATTTC-CG8YP_L001_R1.fastq.gz";92612;75020
"S63_L4A17_TATTGG-CG8YP_L001_R1.fastq.gz";88523;71734
"S64_L4F18_TAATAT-CG8YP_L001_R1.fastq.gz";89800;71275
"S65_L4A18_CGACTC-CG8YP_L001_R1.fastq.gz";81415;69659
